M,seed,method,solver,presolve,status,rounded_feasible,rounded_optimal,integer_error,objective_rounded,true_optimum,prep_seconds,solver_seconds,nodes,rows,nnz,max_coefficient,all_rows_gap_safe,max_exported_violation,campaign,family,posthoc_control,solver_reported_optimal,within_integrality_tolerance,gap_certificate_reported,prep_plus_optimize_seconds,source_rows,source_variables,source_max_coefficient
1000000,100,Rational-direction,gurobi,False,2,True,True,0.0,534,534,0.012019773999782,0.0053820739994989,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0174018479992809,25,72,4000007.0
1000000,100,Rational-direction,highs,True,kOptimal,True,True,0.0,534,534,0.012019773999782,0.0041876469986164,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0162074209983984,25,72,4000007.0
1000000,100,Rational-direction,gurobi,True,2,True,True,0.0,534,534,0.012019773999782,0.0019396099996811,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0139593839994631,25,72,4000007.0
1000000,101,Rounded-direction,highs,False,kOptimal,True,True,0.0,725,725,0.0099318950015003,0.0142277119994105,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0241596070009108,25,72,4000007.0
1000000,101,Rounded-direction,gurobi,False,2,True,True,0.0,725,725,0.0099318950015003,0.0060707869997713,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.016002682001271598,25,72,4000007.0
1000000,101,Rounded-direction,highs,True,kOptimal,True,True,0.0,725,725,0.0099318950015003,0.0115229750008438,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.021454870002344098,25,72,4000007.0
1000000,101,Rounded-direction,gurobi,True,2,True,True,0.0,725,725,0.0099318950015003,0.002871241998946,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0128031370004463,25,72,4000007.0
1000000,101,Rational-direction,highs,False,kOptimal,True,True,0.0,725,725,0.0116780470016237,0.0151041149983939,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.026782162000017602,25,72,4000007.0
1000000,101,Rational-direction,gurobi,False,2,True,True,0.0,725,725,0.0116780470016237,0.0052714230005221,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0169494700021458,25,72,4000007.0
1000000,101,Rational-direction,highs,True,kOptimal,True,True,0.0,725,725,0.0116780470016237,0.0098467499992693,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.021524797000893,25,72,4000007.0
1000000,101,Rational-direction,gurobi,True,2,True,True,0.0,725,725,0.0116780470016237,0.0028577290031535,1.0,25,212,70.0,True,0.0,original-100,original,False,True,True,True,0.0145357760047772,25,72,4000007.0
1000000,102,Rounded-direction,highs,False,kOptimal,True,True,0.0,695,695,0.0096766969982127,0.0124292559994501,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.022105952997662798,25,72,4000007.0
1000000,102,Rounded-direction,gurobi,False,2,True,True,0.0,695,695,0.0096766969982127,0.0047750220001034,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0144517189983161,25,72,4000007.0
1000000,102,Rounded-direction,highs,True,kOptimal,True,True,0.0,695,695,0.0096766969982127,0.0101332240010378,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0198099209992505,25,72,4000007.0
1000000,102,Rounded-direction,gurobi,True,2,True,True,0.0,695,695,0.0096766969982127,0.0026641250005923,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.012340821998805,25,72,4000007.0
1000000,102,Rational-direction,highs,False,kOptimal,True,True,0.0,695,695,0.0117740089990547,0.0124373440012277,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0242113530002824,25,72,4000007.0
1000000,102,Rational-direction,gurobi,False,2,True,True,0.0,695,695,0.0117740089990547,0.0047434379994228,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.0165174469984775,25,72,4000007.0
1000000,102,Rational-direction,highs,True,kOptimal,True,True,0.0,695,695,0.0117740089990547,0.0100926970008003,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.021866705999855,25,72,4000007.0
1000000,102,Rational-direction,gurobi,True,2,True,True,0.0,695,695,0.0117740089990547,0.0027368250011932,1.0,25,216,74.0,True,0.0,original-100,original,False,True,True,True,0.014510834000247901,25,72,4000007.0
1000000,103,Rounded-direction,highs,False,kOptimal,True,True,0.0,616,616,0.0103563089978706,0.0228658340020047,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.033222142999875304,25,72,4000007.0
1000000,103,Rounded-direction,gurobi,False,2,True,True,0.0,616,616,0.0103563089978706,0.0128519440004311,3.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0232082529983017,25,72,4000007.0
1000000,103,Rounded-direction,highs,True,kOptimal,True,True,0.0,616,616,0.0103563089978706,0.0121484429982956,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0225047519961662,25,72,4000007.0
1000000,103,Rounded-direction,gurobi,True,2,True,True,0.0,616,616,0.0103563089978706,0.0039858379968791,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0143421469947497,25,72,4000007.0
1000000,103,Rational-direction,highs,False,kOptimal,True,True,0.0,616,616,0.0121205739997094,0.0239662210005917,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0360867950003011,25,72,4000007.0
1000000,103,Rational-direction,gurobi,False,2,True,True,0.0,616,616,0.0121205739997094,0.0128384870004083,3.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0249590610001177,25,72,4000007.0
1000000,103,Rational-direction,highs,True,kOptimal,True,True,0.0,616,616,0.0121205739997094,0.0122325859992997,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.024353159999009097,25,72,4000007.0
1000000,103,Rational-direction,gurobi,True,2,True,True,0.0,616,616,0.0121205739997094,0.0040006529998208,1.0,25,215,74.0,True,0.0,original-100,original,False,True,True,True,0.0161212269995302,25,72,4000007.0
1000,200,Base,highs,False,kOptimal,True,True,0.0,1335,1335,1.0569965525064615e-06,0.0108971840018057,1.0,25,320,115370.0,,0.0,multilevel-200,multilevel,False,True,True,False,0.010898240998358207,25,80,115370.0
1000,200,Base,gurobi,False,2,True,True,0.0,1335,1335,1.0569965525064615e-06,0.0056795309974404,1.0,25,320,115370.0,,0.0,multilevel-200,multilevel,False,True,True,False,0.005680587993992906,25,80,115370.0
1000,200,Base,highs,True,kOptimal,True,True,9.089395902606157e-13,1335,1335,1.0569965525064615e-06,0.0111479859988321,1.0,25,320,115370.0,,4.158853899908022e-15,multilevel-200,multilevel,False,True,True,False,0.011149042995384606,25,80,115370.0
1000,200,Base,gurobi,True,2,True,True,0.0,1335,1335,1.0569965525064615e-06,0.0048022669980127,1.0,25,320,115370.0,,0.0,multilevel-200,multilevel,False,True,True,False,0.004803323994565206,25,80,115370.0
1000,200,GCD-floor,highs,False,kOptimal,True,True,0.0,1335,1335,0.0056017589995462,0.0109813379967818,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.016583096996328,25,80,115370.0
1000,200,GCD-floor,gurobi,False,2,True,True,0.0,1335,1335,0.0056017589995462,0.0055477889982284,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0111495479977746,25,80,115370.0
1000,200,GCD-floor,highs,True,kOptimal,True,True,9.089395902606157e-13,1335,1335,0.0056017589995462,0.011106791000202,1.0,25,320,115370.0,True,4.158853899908022e-15,multilevel-200,multilevel,False,True,True,True,0.0167085499997482,25,80,115370.0
1000,200,GCD-floor,gurobi,True,2,True,True,0.0,1335,1335,0.0056017589995462,0.0047884690029604,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0103902280025066,25,80,115370.0
1000,200,Single-coefficient,highs,False,kOptimal,True,True,0.0,1335,1335,0.0099511129992606,0.0109068030033085,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.020857916002569102,25,80,115370.0
1000,200,Single-coefficient,gurobi,False,2,True,True,0.0,1335,1335,0.0099511129992606,0.0055256519990507,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.015476764998311299,25,80,115370.0
1000,200,Single-coefficient,highs,True,kOptimal,True,True,9.089395902606157e-13,1335,1335,0.0099511129992606,0.0111148830001184,1.0,25,320,115370.0,True,4.158853899908022e-15,multilevel-200,multilevel,False,True,True,True,0.021065995999379,25,80,115370.0
1000,200,Single-coefficient,gurobi,True,2,True,True,0.0,1335,1335,0.0099511129992606,0.0047165340001811,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.014667646999441699,25,80,115370.0
1000,200,Dyadic-GM,highs,False,kOptimal,True,True,0.0,1335,1335,0.0092078199995739,0.0108783930008939,1.0,25,320,332.61328125,,0.0,multilevel-200,multilevel,False,True,True,False,0.020086213000467798,25,80,115370.0
1000,200,Dyadic-GM,gurobi,False,2,True,True,0.0,1335,1335,0.0092078199995739,0.0050669919983192,1.0,25,320,332.61328125,,0.0,multilevel-200,multilevel,False,True,True,False,0.0142748119978931,25,80,115370.0
1000,200,Dyadic-GM,highs,True,kOptimal,True,True,0.0,1335,1335,0.0092078199995739,0.0103381070002797,1.0,25,320,332.61328125,,0.0,multilevel-200,multilevel,False,True,True,False,0.0195459269998536,25,80,115370.0
1000,200,Dyadic-GM,gurobi,True,2,True,True,0.0,1335,1335,0.0092078199995739,0.0045824949993402,1.0,25,320,332.61328125,,0.0,multilevel-200,multilevel,False,True,True,False,0.0137903149989141,25,80,115370.0
1000,200,Rounded-direction,highs,False,kOptimal,True,True,0.0,1335,1335,0.0015525169983447,0.0109525230000144,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.012505039998359101,25,80,115370.0
1000,200,Rounded-direction,gurobi,False,2,True,True,0.0,1335,1335,0.0015525169983447,0.0056428690004395,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0071953859987842,25,80,115370.0
1000,200,Rounded-direction,highs,True,kOptimal,True,True,9.089395902606157e-13,1335,1335,0.0015525169983447,0.0111299029995279,1.0,25,320,115370.0,True,4.158853899908022e-15,multilevel-200,multilevel,False,True,True,True,0.0126824199978726,25,80,115370.0
1000,200,Rounded-direction,gurobi,True,2,True,True,0.0,1335,1335,0.0015525169983447,0.0048329189994547,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0063854359977994,25,80,115370.0
1000,200,Rational-direction,highs,False,kOptimal,True,True,0.0,1335,1335,0.0015094800000952,0.0108467930003826,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.012356273000477801,25,80,115370.0
1000,200,Rational-direction,gurobi,False,2,True,True,0.0,1335,1335,0.0015094800000952,0.0054562939985771,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.006965773998672301,25,80,115370.0
1000,200,Rational-direction,highs,True,kOptimal,True,True,9.089395902606157e-13,1335,1335,0.0015094800000952,0.0113100429989572,1.0,25,320,115370.0,True,4.158853899908022e-15,multilevel-200,multilevel,False,True,True,True,0.0128195229990524,25,80,115370.0
1000,200,Rational-direction,gurobi,True,2,True,True,0.0,1335,1335,0.0015094800000952,0.0048530010026297,1.0,25,320,115370.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0063624810027249,25,80,115370.0
1000,200,Oracle-direction,highs,False,kOptimal,True,True,0.0,1335,1335,0.0064021420002973,0.010741145000793,1.0,25,319,435.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0171432870010903,25,80,115370.0
1000,200,Oracle-direction,gurobi,False,2,True,True,0.0,1335,1335,0.0064021420002973,0.0040948679998109,1.0,25,319,435.0,True,0.0,multilevel-200,multilevel,False,True,True,True,0.0104970100001082,25,80,115370.0
