cell,instance,variant,status_solver,completed,solver_seconds,par10_seconds,work_recorded,work_native_log,work_native_resolution,work_rounding_mismatch,nodes,max_absolute_row_residual,max_rhs_normalized_residual,max_activity_normalized_residual,verification_available,absolute_1e6_pass,activity_1e8_pass,activity_1e6_pass,log
gurobi_sgtm_1pct,instance001.txt,matricial_plano,OPTIMAL,True,8.816044679,8.816044679,7.0,7.16,0.01,True,3429.0,5.92321157455444e-07,3.69482222595252e-13,1.99471733839268e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance001_matricial_plano.log
gurobi_sgtm_1pct,instance001.txt,matricial_plano_l2,OPTIMAL,True,34.049254088,34.049254088,30.0,30.22,0.01,True,19713.0,4.76837158203125e-07,8.5265128291212e-13,5.88231410577886e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance001_matricial_plano_l2.log
gurobi_sgtm_1pct,instance001.txt,role_hybrid,OPTIMAL,True,7.892986486,7.892986486,6.0,6.32,0.01,True,3505.0,5.92321157455444e-07,3.33955085807247e-13,1.82844226786538e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance001_role_hybrid.log
gurobi_sgtm_1pct,instance005.txt,base,OPTIMAL,True,0.500769207,0.500769207,0.336022,0.34,0.01,False,1.0,2.36555933952332e-07,2.23820961764432e-13,1.71641841843889e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance005_base.log
gurobi_sgtm_1pct,instance005.txt,matricial_plano,OPTIMAL,True,0.311443385,0.311443385,0.0,0.23,0.01,True,1.0,5.86733222007751e-07,4.15667500419659e-13,2.51346678888745e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance005_matricial_plano.log
gurobi_sgtm_1pct,instance005.txt,matricial_plano_l2,OPTIMAL,True,0.304594002,0.304594002,0.0,0.21,0.01,True,1.0,7.11530447006226e-07,4.68958205601666e-13,3.58746147771429e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance005_matricial_plano_l2.log
gurobi_sgtm_1pct,instance005.txt,role_hybrid,OPTIMAL,True,0.451510478,0.451510478,0.0,0.31,0.01,True,1.0,5.88595867156982e-07,2.30926389122033e-13,1.81260901979617e-16,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance005_role_hybrid.log
gurobi_sgtm_1pct,instance014.txt,base,OPTIMAL,True,0.491494554,0.491494554,0.462686,0.46,0.01,False,1.0,1.15483999252319e-07,1.73194791841524e-13,8.26212483441977e-17,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance014_base.log
gurobi_sgtm_1pct,instance014.txt,matricial_plano,OPTIMAL,True,0.408661533,0.408661533,0.0,0.36,0.01,True,1.0,7.15255737304688e-07,6.3877791944833e-12,1.42249422118744e-13,True,True,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance014_matricial_plano.log
gurobi_sgtm_1pct,instance014.txt,matricial_plano_l2,OPTIMAL,True,0.340327168,0.340327168,0.0,0.3,0.01,True,1.0,0.000248908996582031,4.78255423746046e-12,3.22953920931517e-14,True,False,True,True,results-revision/research-audit/operational/cluster-logs/gurobi_sgtm_1pct/logs/instance014_matricial_plano_l2.log
