instance,perm_index,is_true_map,kappa2_pos
coupling_S6_seed20250815,14,0,4.692983e+03
coupling_S6_seed20250815,15,0,9.722562e+04
coupling_S6_seed20250815,16,0,6.704019e+03
coupling_S6_seed20250815,17,0,9.722587e+04
coupling_S6_seed20250815,18,0,1.384659e+03
coupling_S6_seed20250815,19,0,4.964486e+03
coupling_S6_seed20250815,20,0,4.697991e+03
coupling_S6_seed20250815,21,0,9.722562e+04
coupling_S6_seed20250815,22,0,6.704019e+03
coupling_S6_seed20250815,23,0,9.722587e+04
coupling_S6_seed20250816,0,1,5.667199e+03
coupling_S6_seed20250816,1,0,1.082080e+03
coupling_S6_seed20250816,2,0,1.091260e+03
coupling_S6_seed20250816,3,0,4.564394e+03
coupling_S6_seed20250816,4,0,1.102572e+03
coupling_S6_seed20250816,5,0,4.564402e+03
coupling_S6_seed20250816,6,0,1.089325e+03
coupling_S6_seed20250816,7,0,1.100603e+03
coupling_S6_seed20250816,8,0,4.506978e+03
coupling_S6_seed20250816,9,0,8.961407e+04
coupling_S6_seed20250816,10,0,4.510392e+03
coupling_S6_seed20250816,11,0,8.961407e+04
coupling_S6_seed20250816,12,0,1.109681e+03
coupling_S6_seed20250816,13,0,4.569029e+03
coupling_S6_seed20250816,14,0,4.506990e+03
coupling_S6_seed20250816,15,0,8.961407e+04
coupling_S6_seed20250816,16,0,6.343429e+03
coupling_S6_seed20250816,17,0,8.961434e+04
coupling_S6_seed20250816,18,0,1.120840e+03
coupling_S6_seed20250816,19,0,4.569037e+03
coupling_S6_seed20250816,20,0,4.510404e+03
coupling_S6_seed20250816,21,0,8.961407e+04
coupling_S6_seed20250816,22,0,6.343429e+03
coupling_S6_seed20250816,23,0,8.961434e+04
coupling_S6_seed20250817,0,1,5.281484e+03
coupling_S6_seed20250817,1,0,8.872972e+02
coupling_S6_seed20250817,2,0,8.927089e+02
coupling_S6_seed20250817,3,0,4.923323e+03
coupling_S6_seed20250817,4,0,9.098783e+02
coupling_S6_seed20250817,5,0,4.923332e+03
coupling_S6_seed20250817,6,0,8.833053e+02
coupling_S6_seed20250817,7,0,9.001843e+02
coupling_S6_seed20250817,8,0,5.547612e+03
coupling_S6_seed20250817,9,0,1.267572e+05
coupling_S6_seed20250817,10,0,5.551874e+03
coupling_S6_seed20250817,11,0,1.267572e+05
coupling_S6_seed20250817,12,0,9.056298e+02
coupling_S6_seed20250817,13,0,4.927977e+03
coupling_S6_seed20250817,14,0,5.547614e+03
coupling_S6_seed20250817,15,0,1.267572e+05
coupling_S6_seed20250817,16,0,7.219727e+03
coupling_S6_seed20250817,17,0,1.267574e+05
coupling_S6_seed20250817,18,0,9.223904e+02
coupling_S6_seed20250817,19,0,4.927985e+03
coupling_S6_seed20250817,20,0,5.551876e+03
coupling_S6_seed20250817,21,0,1.267572e+05
coupling_S6_seed20250817,22,0,7.219727e+03
coupling_S6_seed20250817,23,0,1.267574e+05
coupling_S6_seed20250818,0,1,4.862752e+03
coupling_S6_seed20250818,1,0,1.021950e+03
coupling_S6_seed20250818,2,0,1.017727e+03
coupling_S6_seed20250818,3,0,4.066024e+03
coupling_S6_seed20250818,4,0,1.034227e+03
coupling_S6_seed20250818,5,0,4.066041e+03
coupling_S6_seed20250818,6,0,1.021650e+03
coupling_S6_seed20250818,7,0,1.037972e+03
coupling_S6_seed20250818,8,0,4.739817e+03
coupling_S6_seed20250818,9,0,7.286981e+04
coupling_S6_seed20250818,10,0,4.743963e+03
coupling_S6_seed20250818,11,0,7.286981e+04
coupling_S6_seed20250818,12,0,1.033760e+03
coupling_S6_seed20250818,13,0,4.069212e+03
coupling_S6_seed20250818,14,0,4.739823e+03
coupling_S6_seed20250818,15,0,7.286981e+04
coupling_S6_seed20250818,16,0,6.207386e+03
coupling_S6_seed20250818,17,0,7.286989e+04
coupling_S6_seed20250818,18,0,1.049999e+03
coupling_S6_seed20250818,19,0,4.069228e+03
coupling_S6_seed20250818,20,0,4.743969e+03
coupling_S6_seed20250818,21,0,7.286981e+04
coupling_S6_seed20250818,22,0,6.207386e+03
coupling_S6_seed20250818,23,0,7.286989e+04
coupling_S6_seed20250819,0,1,3.960246e+03
coupling_S6_seed20250819,1,0,1.001725e+03
coupling_S6_seed20250819,2,0,1.005895e+03
coupling_S6_seed20250819,3,0,3.072288e+03
coupling_S6_seed20250819,4,0,1.017004e+03
coupling_S6_seed20250819,5,0,3.072303e+03
coupling_S6_seed20250819,6,0,1.006140e+03
coupling_S6_seed20250819,7,0,1.017212e+03
coupling_S6_seed20250819,8,0,4.839380e+03
coupling_S6_seed20250819,9,0,7.511618e+04
coupling_S6_seed20250819,10,0,4.841897e+03
coupling_S6_seed20250819,11,0,7.511618e+04
coupling_S6_seed20250819,12,0,1.021377e+03
coupling_S6_seed20250819,13,0,3.078198e+03
coupling_S6_seed20250819,14,0,4.839386e+03
coupling_S6_seed20250819,15,0,7.511618e+04
coupling_S6_seed20250819,16,0,5.661167e+03
coupling_S6_seed20250819,17,0,7.511641e+04
coupling_S6_seed20250819,18,0,1.032356e+03
coupling_S6_seed20250819,19,0,3.078214e+03
coupling_S6_seed20250819,20,0,4.841903e+03
coupling_S6_seed20250819,21,0,7.511618e+04
coupling_S6_seed20250819,22,0,5.661167e+03
coupling_S6_seed20250819,23,0,7.511641e+04
coupling_S6_seed20250820,0,1,7.113216e+03
coupling_S6_seed20250820,1,0,1.027999e+03
coupling_S6_seed20250820,2,0,1.070147e+03
coupling_S6_seed20250820,3,0,5.540396e+03
coupling_S6_seed20250820,4,0,1.034680e+03
coupling_S6_seed20250820,5,0,5.540397e+03
coupling_S6_seed20250820,6,0,1.020607e+03
coupling_S6_seed20250820,7,0,1.038186e+03
coupling_S6_seed20250820,8,0,4.527522e+03
coupling_S6_seed20250820,9,0,4.914553e+04
coupling_S6_seed20250820,10,0,4.528194e+03
coupling_S6_seed20250820,11,0,4.914553e+04
coupling_S6_seed20250820,12,0,1.027606e+03
coupling_S6_seed20250820,13,0,5.542093e+03
coupling_S6_seed20250820,14,0,4.527539e+03
coupling_S6_seed20250820,15,0,4.914553e+04
coupling_S6_seed20250820,16,0,5.822430e+03
coupling_S6_seed20250820,17,0,4.914598e+04
coupling_S6_seed20250820,18,0,1.044933e+03
coupling_S6_seed20250820,19,0,5.542094e+03
coupling_S6_seed20250820,20,0,4.528210e+03
coupling_S6_seed20250820,21,0,4.914553e+04
coupling_S6_seed20250820,22,0,5.822430e+03
coupling_S6_seed20250820,23,0,4.914598e+04
coupling_S6_seed20250821,0,1,5.180211e+03
coupling_S6_seed20250821,1,0,1.112363e+03
coupling_S6_seed20250821,2,0,1.113713e+03
coupling_S6_seed20250821,3,0,2.908952e+03
coupling_S6_seed20250821,4,0,1.121591e+03
coupling_S6_seed20250821,5,0,2.908960e+03
coupling_S6_seed20250821,6,0,1.112833e+03
coupling_S6_seed20250821,7,0,1.120667e+03
coupling_S6_seed20250821,8,0,4.123294e+03
coupling_S6_seed20250821,9,0,6.446649e+04
coupling_S6_seed20250821,10,0,4.124868e+03
coupling_S6_seed20250821,11,0,6.446649e+04
coupling_S6_seed20250821,12,0,1.122107e+03
coupling_S6_seed20250821,13,0,2.911015e+03
coupling_S6_seed20250821,14,0,4.123301e+03
coupling_S6_seed20250821,15,0,6.446649e+04
coupling_S6_seed20250821,16,0,4.643617e+03
coupling_S6_seed20250821,17,0,6.446662e+04
coupling_S6_seed20250821,18,0,1.129904e+03
coupling_S6_seed20250821,19,0,2.911023e+03
coupling_S6_seed20250821,20,0,4.124875e+03
coupling_S6_seed20250821,21,0,6.446649e+04
coupling_S6_seed20250821,22,0,4.643617e+03
coupling_S6_seed20250821,23,0,6.446662e+04
coupling_S6_seed20250822,0,1,1.549055e+04
coupling_S6_seed20250822,1,0,2.651556e+03
coupling_S6_seed20250822,2,0,2.805433e+03
coupling_S6_seed20250822,3,0,5.635304e+03
coupling_S6_seed20250822,4,0,2.656743e+03
coupling_S6_seed20250822,5,0,5.635307e+03
coupling_S6_seed20250822,6,0,2.647345e+03
coupling_S6_seed20250822,7,0,2.655823e+03
coupling_S6_seed20250822,8,0,4.547404e+03
coupling_S6_seed20250822,9,0,9.479252e+04
coupling_S6_seed20250822,10,0,4.551491e+03
coupling_S6_seed20250822,11,0,9.479252e+04
coupling_S6_seed20250822,12,0,2.652440e+03
coupling_S6_seed20250822,13,0,5.637764e+03
coupling_S6_seed20250822,14,0,4.547409e+03
coupling_S6_seed20250822,15,0,9.479252e+04
coupling_S6_seed20250822,16,0,6.398546e+03
coupling_S6_seed20250822,17,0,9.479257e+04
coupling_S6_seed20250822,18,0,2.661016e+03
coupling_S6_seed20250822,19,0,5.637766e+03
coupling_S6_seed20250822,20,0,4.551496e+03
coupling_S6_seed20250822,21,0,9.479252e+04
coupling_S6_seed20250822,22,0,6.398546e+03
coupling_S6_seed20250822,23,0,9.479257e+04
coupling_S6_seed20250823,0,1,3.577890e+03
coupling_S6_seed20250823,1,0,7.461593e+02
coupling_S6_seed20250823,2,0,7.509400e+02
coupling_S6_seed20250823,3,0,3.865867e+03
