model_id,method,assignments,original_feasible,exported_feasible,excluded_original_feasible,added_original_infeasible,same_binary_set
signed_s100_e9,GCD-midgap-GM,4096,3362,3362,0,0,True
signed_s101_e0,GCD-floor,4096,2541,2541,0,0,True
signed_s101_e0,GCD-floor-GM,4096,2541,2478,63,0,False
signed_s101_e0,GCD-midgap-GM,4096,2541,2541,0,0,True
signed_s101_e3,GCD-floor,4096,2541,2541,0,0,True
signed_s101_e3,GCD-floor-GM,4096,2541,2478,63,0,False
signed_s101_e3,GCD-midgap-GM,4096,2541,2541,0,0,True
signed_s101_e6,GCD-floor,4096,2541,2541,0,0,True
signed_s101_e6,GCD-floor-GM,4096,2541,2478,63,0,False
signed_s101_e6,GCD-midgap-GM,4096,2541,2541,0,0,True
signed_s101_e9,GCD-floor,4096,2541,2541,0,0,True
signed_s101_e9,GCD-floor-GM,4096,2541,2478,63,0,False
signed_s101_e9,GCD-midgap-GM,4096,2541,2541,0,0,True
signed_s102_e0,GCD-floor,4096,4021,4021,0,0,True
signed_s102_e0,GCD-floor-GM,4096,4021,4007,14,0,False
signed_s102_e0,GCD-midgap-GM,4096,4021,4021,0,0,True
signed_s102_e3,GCD-floor,4096,4021,4021,0,0,True
signed_s102_e3,GCD-floor-GM,4096,4021,4007,14,0,False
signed_s102_e3,GCD-midgap-GM,4096,4021,4021,0,0,True
signed_s102_e6,GCD-floor,4096,4021,4021,0,0,True
signed_s102_e6,GCD-floor-GM,4096,4021,4007,14,0,False
signed_s102_e6,GCD-midgap-GM,4096,4021,4021,0,0,True
signed_s102_e9,GCD-floor,4096,4021,4021,0,0,True
signed_s102_e9,GCD-floor-GM,4096,4021,4007,14,0,False
signed_s102_e9,GCD-midgap-GM,4096,4021,4021,0,0,True
signed_s103_e0,GCD-floor,4096,2854,2854,0,0,True
signed_s103_e0,GCD-floor-GM,4096,2854,2810,44,0,False
signed_s103_e0,GCD-midgap-GM,4096,2854,2854,0,0,True
signed_s103_e3,GCD-floor,4096,2854,2854,0,0,True
signed_s103_e3,GCD-floor-GM,4096,2854,2810,44,0,False
signed_s103_e3,GCD-midgap-GM,4096,2854,2854,0,0,True
signed_s103_e6,GCD-floor,4096,2854,2854,0,0,True
signed_s103_e6,GCD-floor-GM,4096,2854,2810,44,0,False
signed_s103_e6,GCD-midgap-GM,4096,2854,2854,0,0,True
signed_s103_e9,GCD-floor,4096,2854,2854,0,0,True
signed_s103_e9,GCD-floor-GM,4096,2854,2810,44,0,False
signed_s103_e9,GCD-midgap-GM,4096,2854,2854,0,0,True
signed_s104_e0,GCD-floor,4096,2382,2382,0,0,True
signed_s104_e0,GCD-floor-GM,4096,2382,2295,87,0,False
signed_s104_e0,GCD-midgap-GM,4096,2382,2382,0,0,True
signed_s104_e3,GCD-floor,4096,2382,2382,0,0,True
signed_s104_e3,GCD-floor-GM,4096,2382,2295,87,0,False
signed_s104_e3,GCD-midgap-GM,4096,2382,2382,0,0,True
signed_s104_e6,GCD-floor,4096,2382,2382,0,0,True
signed_s104_e6,GCD-floor-GM,4096,2382,2295,87,0,False
signed_s104_e6,GCD-midgap-GM,4096,2382,2382,0,0,True
signed_s104_e9,GCD-floor,4096,2382,2382,0,0,True
signed_s104_e9,GCD-floor-GM,4096,2382,2295,87,0,False
signed_s104_e9,GCD-midgap-GM,4096,2382,2382,0,0,True
signed_s105_e0,GCD-floor,4096,3568,3568,0,0,True
signed_s105_e0,GCD-floor-GM,4096,3568,3568,0,0,True
signed_s105_e0,GCD-midgap-GM,4096,3568,3568,0,0,True
signed_s105_e3,GCD-floor,4096,3568,3568,0,0,True
signed_s105_e3,GCD-floor-GM,4096,3568,3568,0,0,True
signed_s105_e3,GCD-midgap-GM,4096,3568,3568,0,0,True
signed_s105_e6,GCD-floor,4096,3568,3568,0,0,True
signed_s105_e6,GCD-floor-GM,4096,3568,3568,0,0,True
signed_s105_e6,GCD-midgap-GM,4096,3568,3568,0,0,True
signed_s105_e9,GCD-floor,4096,3568,3568,0,0,True
signed_s105_e9,GCD-floor-GM,4096,3568,3568,0,0,True
signed_s105_e9,GCD-midgap-GM,4096,3568,3568,0,0,True
signed_s106_e0,GCD-floor,4096,3051,3051,0,0,True
signed_s106_e0,GCD-floor-GM,4096,3051,2931,120,0,False
signed_s106_e0,GCD-midgap-GM,4096,3051,3051,0,0,True
signed_s106_e3,GCD-floor,4096,3051,3051,0,0,True
signed_s106_e3,GCD-floor-GM,4096,3051,2931,120,0,False
signed_s106_e3,GCD-midgap-GM,4096,3051,3051,0,0,True
signed_s106_e6,GCD-floor,4096,3051,3051,0,0,True
signed_s106_e6,GCD-floor-GM,4096,3051,2931,120,0,False
signed_s106_e6,GCD-midgap-GM,4096,3051,3051,0,0,True
signed_s106_e9,GCD-floor,4096,3051,3051,0,0,True
signed_s106_e9,GCD-floor-GM,4096,3051,2931,120,0,False
signed_s106_e9,GCD-midgap-GM,4096,3051,3051,0,0,True
signed_s107_e0,GCD-floor,4096,3181,3181,0,0,True
signed_s107_e0,GCD-floor-GM,4096,3181,3076,105,0,False
signed_s107_e0,GCD-midgap-GM,4096,3181,3181,0,0,True
signed_s107_e3,GCD-floor,4096,3181,3181,0,0,True
signed_s107_e3,GCD-floor-GM,4096,3181,3076,105,0,False
signed_s107_e3,GCD-midgap-GM,4096,3181,3181,0,0,True
signed_s107_e6,GCD-floor,4096,3181,3181,0,0,True
signed_s107_e6,GCD-floor-GM,4096,3181,3076,105,0,False
signed_s107_e6,GCD-midgap-GM,4096,3181,3181,0,0,True
signed_s107_e9,GCD-floor,4096,3181,3181,0,0,True
signed_s107_e9,GCD-floor-GM,4096,3181,3076,105,0,False
signed_s107_e9,GCD-midgap-GM,4096,3181,3181,0,0,True
