stage,family,solver,gap,seed,instance,policies,max_rel_objective_gap,worst_policy,above_target_gap
primary,Simple,cplex,0.01,1,v1_simple_000118,4,1.125832625798048e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000122,4,1.7475634101446593e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000123,4,0.01513138773519621,Flat-GM,True
primary,Simple,cplex,0.01,1,v1_simple_000124,4,0.0009363750263872929,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000126,4,2.2346524433171735e-07,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000127,4,0.007630690619280999,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000128,4,0.0009029824662193668,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000130,4,4.8809783780118756e-05,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000131,4,0.004841959495321193,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000132,4,0.0174624453709165,Flat-L2,True
primary,Simple,cplex,0.01,1,v1_simple_000133,4,0.0011915947064458092,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000134,4,0.0008016280110410173,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000136,4,0.0020406039363596966,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000138,4,1.7774848821194433e-07,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000139,4,0.007194456706093377,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000140,4,0.003180615702184936,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000141,4,0.0002261487864232448,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000142,4,6.759129558027209e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000143,4,0.004280443622027821,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000144,4,0.0065412118335134795,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000145,4,0.0014249569428879275,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000146,4,9.817531611273119e-06,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000148,4,1.7810672258405006e-06,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000149,4,0.004965598597557943,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000150,4,0.0037456161536034635,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000151,4,0.0002118859008625013,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000152,4,0.008268770938548773,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000153,4,1.9623756649653945e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000154,4,0.005504460896735306,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000155,4,0.00014919332465354314,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000156,4,2.1575441048375855e-16,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000157,4,0.005864283813577392,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000158,4,0.0025606646269037327,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000159,4,0.008836174414087577,Flat-L2,False
primary,Simple,cplex,0.01,1,v1_simple_000160,4,7.651448609392151e-05,Flat-GM,False
primary,Simple,cplex,0.01,1,v1_simple_000161,4,0.0014747638501458678,Flat-L2,False
